"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Avery Dennison","AVY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Baker Hughes A","BHGE","Neutral","Strong Buy","Neutral","Sell"
"Ball","BLL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Bank of America","BAC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Bank of NY Mellon","BK","Strong Sell","Strong Sell","Strong Sell","Buy"
"Baxter","BAX","Neutral","Strong Sell","Buy","Strong Buy"
"BB&T","BBT","Strong Buy","Buy","Neutral","Strong Buy"
"Becton Dickinson","BDX","Neutral","Buy","Strong Buy","Strong Buy"
"Berkshire Hathaway B","BRKb","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Best Buy","BBY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Biogen Inc","BIIB","Strong Sell","Neutral","Strong Buy","Strong Buy"
"BlackRock","BLK","Neutral","Strong Sell","Strong Sell","Buy"
"Boeing","BA","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Booking","BKNG","Neutral","Strong Sell","Sell","Strong Buy"
"BorgWarner","BWA","Strong Buy","Buy","Strong Sell","Strong Sell"
"Boston Properties","BXP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Boston Scientific","BSX","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Brighthouse Financial","BHF","Strong Buy","Strong Buy","Sell","Sell"
"Bristol-Myers Squibb","BMY","Neutral","Strong Buy","Strong Buy","Buy"
"Broadcom","AVGO","Strong Buy","Sell","Strong Sell","Sell"
"Brown Forman","BFb","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CA","CA","Strong Buy","Buy","Strong Buy","Strong Buy"
"Cabot Oil&Gas","COG","Strong Buy","Strong Sell","Sell","Strong Sell"
"Cadence Design","CDNS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Campbell Soup","CPB","Strong Buy","Strong Buy","Buy","Strong Sell"
"Capital One Financial","COF","Strong Buy","Strong Buy","Buy","Strong Buy"
"Cardinal Health","CAH","Buy","Neutral","Strong Sell","Strong Sell"
"CarMax","KMX","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Carnival","CCL","Strong Buy","Buy","Strong Sell","Sell"
"Caterpillar","CAT","Neutral","Strong Sell","Strong Sell","Buy"
"CBOE Holdings","CBOE","Strong Sell","Strong Sell","Strong Sell","Neutral"
"CBRE A","CBRE","Strong Buy","Buy","Strong Buy","Strong Buy"
"CBS","CBS","Buy","Strong Sell","Neutral","Strong Sell"
"Celgene","CELG","Strong Buy","Strong Buy","Buy","Sell"
"Centene","CNC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CenterPoint Energy","CNP","Strong Sell","Buy","Strong Buy","Strong Buy"
"CenturyLink","CTL","Buy","Neutral","Neutral","Sell"
"Cerner","CERN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CF Industries","CF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CH Robinson","CHRW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Charter Communications","CHTR","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Chesapeake Energy","CHK","Neutral","Strong Sell","Neutral","Neutral"
"Chevron","CVX","Strong Sell","Neutral","Neutral","Strong Buy"
"Chipotle Mexican Grill","CMG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Chubb","CB","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Church&Dwight","CHD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cigna","CI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cimarex Energy","XEC","Strong Sell","Strong Sell","Sell","Strong Sell"
"Cincinnati Financial","CINF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cintas","CTAS","Buy","Strong Buy","Strong Buy","Strong Buy"
"Cisco","CSCO","Strong Buy","Strong Buy","Neutral","Strong Buy"
"Citigroup","C","Strong Buy","Strong Buy","Strong Buy","Buy"
"Citizens Financial Group Inc","CFG","Strong Buy","Neutral","Neutral","Buy"
"Citrix Systems","CTXS","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Clorox","CLX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"CME Group","CME","Buy","Strong Sell","Neutral","Strong Buy"
"CMS Energy","CMS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Coca-Cola","KO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Cognizant","CTSH","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Colgate-Palmolive","CL","Strong Buy","Strong Buy","Buy","Neutral"
"Comcast","CMCSA","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Comerica","CMA","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ConAgra Foods","CAG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Concho Resources","CXO","Strong Sell","Strong Sell","Strong Sell","Neutral"
"ConocoPhillips","COP","Neutral","Buy","Strong Buy","Strong Buy"
"Consolidated Edison","ED","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Constellation Brands A","STZ","Strong Buy","Sell","Strong Sell","Buy"
"Cooper","COO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Corning","GLW","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Costco","COST","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
